AA_EXERCICIO;CO_UG;CO_GESTAO;CO_CONTA_CONTABIL;CO_FONTE_RECURSO;CO_NATUREZA_RECEITA;CO_CATEGORIA_RECEITA;CO_FONTE_RECEITA;CO_SUB_FONTE_RECEITA;CO_RUBRICA_RECEITA;CO_ALINEA_RECEITA;CO_SUB_ALINEA_RECEITA;CO_TIPO_FONTE;NO_UG;NO_GESTAO;NO_CONTA_CONTABIL;NO_FONTE_RECURSO;NO_NATUREZA_RECEITA;NO_CATEGORIA_RECEITA;NO_FONTE_RECEITA;NO_SUB_FONTE_RECEITA;NO_RUBRICA_RECEITA;NO_ALINEA_RECEITA;NO_SUB_ALINEA_RECEITA;NO_TIPO_FONTE;VR_RECEITA;VR_RECEITA_REALIZADA;VR_RECEITA_PREVISTA;IN_MES;DT_CARGA
2022;130101;00001;419999921;168000000;19999921;1;19;199;1999;199999;19999921;1;SECR. DE ESTADO DE PLANEJAMENTO, ORÇAMENTO E ADMIN;TESOURO; ;OUTORGA ONEROSA DO DIREITO DE CONSTRUIR - ODIR;OUTRAS RECEITAS NÃO ARRECADADAS E NÃO PROJETADAS - PRIMÁRIAS;RECEITAS CORRENTES;OUTRAS RECEITAS CORRENTES;DEMAIS RECEITAS CORRENTES;OUTRAS RECEITAS CORRENTES;OUTRAS RECEITAS;OUTRAS RECEITAS NÃO ARRECADADAS E NÃO PROJETADAS - PRIMÁRIAS;TESOURO;116136,09;116136,09;,00;3;2024-08-01 07:33:00
2022;130101;00001;413210101;132018436;13210101;1;13;132;1321;132101;13210101;1;SECR. DE ESTADO DE PLANEJAMENTO, ORÇAMENTO E ADMIN;TESOURO; ;CONVÊNIOS OUTROS ÓRGÃOS(NÃO-INTEGRANTES DO GDF);REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;RECEITAS CORRENTES;RECEITA PATRIMONIAL;VALORES MOBILIÁRIOS;JUROS E CORREÇÕES MONETÁRIAS;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;TESOURO;42,00;42,00;,00;1;2024-08-01 07:33:00
2022;120901;12901;413210101;170000000;13210101;1;13;132;1321;132101;13210101;1;FUNDO DA PROCURADORIA DO DISTRITO FEDERAL;FUNDO DA PROCURADORIA GERAL DO DF; ;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS DE FUNDOS;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;RECEITAS CORRENTES;RECEITA PATRIMONIAL;VALORES MOBILIÁRIOS;JUROS E CORREÇÕES MONETÁRIAS;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;TESOURO;614325,42;614325,42;,00;3;2024-08-01 07:33:00
2022;130101;00001;411220101;114000000;11220101;1;11;112;1122;112201;11220101;1;SECR. DE ESTADO DE PLANEJAMENTO, ORÇAMENTO E ADMIN;TESOURO; ;LIMPEZA PÚBLICA;TAXAS PELA PRESTAÇÃO DE SERVIÇOS - PRINCIPAL;RECEITAS CORRENTES;IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA;TAXAS;TAXAS PELA PRESTAÇÃO DE SERVIÇOS;TAXAS PELA PRESTAÇÃO DE SERVIÇOS;TAXAS PELA PRESTAÇÃO DE SERVIÇOS - PRINCIPAL;TESOURO;2535241,57;2535241,57;,00;3;2024-08-01 07:33:00
2022;130101;00001;419999921;127000000;19999921;1;19;199;1999;199999;19999921;1;SECR. DE ESTADO DE PLANEJAMENTO, ORÇAMENTO E ADMIN;TESOURO; ;CONTRAPARTIDA DE MOBILIDADE URBANA;OUTRAS RECEITAS NÃO ARRECADADAS E NÃO PROJETADAS - PRIMÁRIAS;RECEITAS CORRENTES;OUTRAS RECEITAS CORRENTES;DEMAIS RECEITAS CORRENTES;OUTRAS RECEITAS CORRENTES;OUTRAS RECEITAS;OUTRAS RECEITAS NÃO ARRECADADAS E NÃO PROJETADAS - PRIMÁRIAS;TESOURO;808997,64;808997,64;,00;3;2024-08-01 07:33:00
2022;130101;00001;411130331;100000000;11130331;1;11;111;1113;111303;11130331;1;SECR. DE ESTADO DE PLANEJAMENTO, ORÇAMENTO E ADMIN;TESOURO; ;ORDINÁRIO NÃO VINCULADO;IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - REMESSA AO EXTERIOR - PRINCI;RECEITAS CORRENTES;IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA;IMPOSTOS;IMPOSTOS SOBRE A RENDA E PROVENTOS DE QUALQUER NATUREZA;IMPOSTO SOBRE A RENDA - RETIDO NA FONTE;IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - REMESSA AO EXTERIOR - PRINCI;TESOURO;758513,44;758513,44;,00;4;2024-08-01 07:33:00
2022;170901;17901;413210101;138007164;13210101;1;13;132;1321;132101;13210101;1;FUNDO DE SAÚDE DO DISTRITO FEDERAL;FUNDO DE SAUDE DO DISTRITO FEDERAL; ;RECURSOS DO SISTEMA ÚNICO DE SAÚDE;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;RECEITAS CORRENTES;RECEITA PATRIMONIAL;VALORES MOBILIÁRIOS;JUROS E CORREÇÕES MONETÁRIAS;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;TESOURO;2,63;2,63;,00;2;2024-08-01 07:33:00
2022;130101;00001;411125001;100000000;11125001;1;11;111;1112;111250;11125001;1;SECR. DE ESTADO DE PLANEJAMENTO, ORÇAMENTO E ADMIN;TESOURO; ;ORDINÁRIO NÃO VINCULADO;IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - PRINCIPAL;RECEITAS CORRENTES;IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA;IMPOSTOS;IMPOSTOS SOBRE O PATRIMÔNIO;IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA;IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - PRINCIPAL;TESOURO;18636721,71;18636721,71;,00;2;2024-08-01 07:33:00
2022;280208;28208;416110303;220000000;16110303;1;16;161;1611;161103;16110303;2;INSTITUTO DE MEIO AMBIENTE E REC. HÍDRICOS DO DF;INSTITUTO DO MEIO AMB. E REC. HÍDRICOS DO DF; ;DIRETAMENTE ARRECADADOS;SERVIÇOS DE REGISTRO, CERTIFICAÇÃO E FISCALIZAÇÃO - DÍVIDA ATIVA;RECEITAS CORRENTES;RECEITA DE SERVIÇOS;SERVIÇOS ADMINISTRATIVOS E COMERCIAIS GERAIS;SERVIÇOS ADMINISTRATIVOS E COMERCIAIS GERAIS;SERVIÇOS DE REGISTRO, CERTIFICAÇÃO E FISCALIZAÇÃO;SERVIÇOS DE REGISTRO, CERTIFICAÇÃO E FISCALIZAÇÃO - DÍVIDA ATIVA;OUTRAS FONTES;,00;,00;193244,00;1;2024-08-01 07:33:00
2022;170203;17203;416110101;220000000;16110101;1;16;161;1611;161101;16110101;2;FUNDAÇÃO DE ENS. E PESQ. EM CIÊNC. DA SAÚDE-FEPECS;FUNDAÇÃO DE ENSINO E PESQUISA EM CIÊNCIAS DA SAÚDE; ;DIRETAMENTE ARRECADADOS;SERVIÇOS ADMINISTRATIVOS E COMERCIAIS GERAIS - PRINCIPAL;RECEITAS CORRENTES;RECEITA DE SERVIÇOS;SERVIÇOS ADMINISTRATIVOS E COMERCIAIS GERAIS;SERVIÇOS ADMINISTRATIVOS E COMERCIAIS GERAIS;SERVIÇOS ADMINISTRATIVOS E COMERCIAIS GERAIS;SERVIÇOS ADMINISTRATIVOS E COMERCIAIS GERAIS - PRINCIPAL;OUTRAS FONTES;,00;,00;73,00;1;2024-08-01 07:33:00
