AA_EXERCICIO;CO_UG;CO_GESTAO;CO_CONTA_CONTABIL;CO_FONTE_RECURSO;CO_NATUREZA_RECEITA;CO_CATEGORIA_RECEITA;CO_FONTE_RECEITA;CO_SUB_FONTE_RECEITA;CO_RUBRICA_RECEITA;CO_ALINEA_RECEITA;CO_SUB_ALINEA_RECEITA;CO_TIPO_FONTE;NO_UG;NO_GESTAO;NO_CONTA_CONTABIL;NO_FONTE_RECURSO;NO_NATUREZA_RECEITA;NO_CATEGORIA_RECEITA;NO_FONTE_RECEITA;NO_SUB_FONTE_RECEITA;NO_RUBRICA_RECEITA;NO_ALINEA_RECEITA;NO_SUB_ALINEA_RECEITA;NO_TIPO_FONTE;VR_RECEITA;VR_RECEITA_REALIZADA;VR_RECEITA_PREVISTA;IN_MES;DT_CARGA
2024;130101;00001;417515001;105100000;17515001;1;17;175;1751;175150;17515001;1;SECR. DE ESTADO DE ECONOMIA DO DF;TESOURO; ;TRANSFERÊNCIA DE IMPOSTO TERRITORIAL RURAL;TRANSFERÊNCIAS DE RECURSOS DO FUNDEB - PRINCIPAL;RECEITAS CORRENTES;TRANSFERÊNCIAS CORRENTES;TRANSFERÊNCIAS DE OUTRAS INSTITUIÇÕES PÚBLICAS;TRANSFERÊNCIAS DE RECURSOS DO FUNDO DE MANUTENÇÃO E DESENVOLVIMENTO DA;TRANSFERÊNCIAS DE RECURSOS DO FUNDO DE MANUTENÇÃO E DESENVOLVIMENTO DA;TRANSFERÊNCIAS DE RECURSOS DO FUNDEB - PRINCIPAL;TESOURO;,00;,00;368688,00;1;2024-07-22 07:33:00
2024;130101;00001;413210101;196000000;13210101;1;13;132;1321;132101;13210101;1;SECR. DE ESTADO DE ECONOMIA DO DF;TESOURO; ;DOAÇÕES DE P.FÍSICAS, INST.PÚBL. E PRIV. NACIONAIS;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;RECEITAS CORRENTES;RECEITA PATRIMONIAL;VALORES MOBILIÁRIOS;JUROS E CORREÇÕES MONETÁRIAS;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;TESOURO;1696,35;1696,35;,00;2;2024-07-22 07:33:00
2024;130101;00001;419999926;120000000;19999926;1;19;199;1999;199999;19999926;1;SECR. DE ESTADO DE ECONOMIA DO DF;TESOURO; ;DIRETAMENTE ARRECADADOS                 -FTFE 501;OUTRAS RECEITAS NÃO ARRECADADAS E NÃO PROJETADAS - PRIMÁRIAS;RECEITAS CORRENTES;OUTRAS RECEITAS CORRENTES;DEMAIS RECEITAS CORRENTES;OUTRAS RECEITAS CORRENTES;OUTRAS RECEITAS;OUTRAS RECEITAS NÃO ARRECADADAS E NÃO PROJETADAS - PRIMÁRIAS;TESOURO;4378,81;4378,81;,00;4;2024-07-22 07:33:00
2024;130101;00001;411219808;100100000;11219808;1;11;112;1121;112198;11219808;1;SECR. DE ESTADO DE ECONOMIA DO DF;TESOURO; ;ORDINÁRIO NÃO VINCULADO                  FTFE 500;TAXAS DE INSPEÇÃO, CONTROLE E FISCALIZAÇÃO - DÍVIDA ATIVA - JUROS DE M;RECEITAS CORRENTES;IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA;TAXAS;TAXAS PELO EXERCÍCIO DO PODER DE POLÍCIA;TAXAS DE INSPEÇÃO, CONTROLE E FISCALIZAÇÃO - OUTRAS;TAXAS DE INSPEÇÃO, CONTROLE E FISCALIZAÇÃO - DÍVIDA ATIVA - JUROS DE M;TESOURO;923,98;923,98;,00;4;2024-07-22 07:33:00
2024;130101;00001;419229901;100100000;19229901;1;19;192;1922;192299;19229901;1;SECR. DE ESTADO DE ECONOMIA DO DF;TESOURO; ;ORDINÁRIO NÃO VINCULADO                  FTFE 500;OUTRAS RESTITUIÇÕES - PRINCIPAL;RECEITAS CORRENTES;OUTRAS RECEITAS CORRENTES;INDENIZAÇÕES, RESTITUIÇÕES E RESSARCIMENTOS;RESTITUIÇÕES;OUTRAS RESTITUIÇÕES;OUTRAS RESTITUIÇÕES - PRINCIPAL;TESOURO;14597096,47;14597096,47;,00;4;2024-07-22 07:33:00
2024;150201;15201;413210101;221025464;13210101;1;13;132;1321;132101;13210101;2;FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP;FUNDACAO DE APOIO A PESQUISA DO DF; ;APLICAÇÕES FINANCEIRAS VINCULADAS        -FTFE 700;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;RECEITAS CORRENTES;RECEITA PATRIMONIAL;VALORES MOBILIÁRIOS;JUROS E CORREÇÕES MONETÁRIAS;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;OUTRAS FONTES;14769,37;14769,37;,00;2;2024-07-22 07:33:00
2024;130101;00001;411220101;184000000;11220101;1;11;112;1122;112201;11220101;1;SECR. DE ESTADO DE ECONOMIA DO DF;TESOURO; ;TAXA DE ANÁLISE E EMISSÃO DO TAR         -FTFE 753;TAXAS PELA PRESTAÇÃO DE SERVIÇOS - PRINCIPAL;RECEITAS CORRENTES;IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA;TAXAS;TAXAS PELA PRESTAÇÃO DE SERVIÇOS;TAXAS PELA PRESTAÇÃO DE SERVIÇOS;TAXAS PELA PRESTAÇÃO DE SERVIÇOS - PRINCIPAL;TESOURO;184,96;184,96;,00;1;2024-07-22 07:33:00
2024;130101;00001;411125305;100000000;11125305;1;11;111;1112;111253;11125305;1;SECR. DE ESTADO DE ECONOMIA DO DF;TESOURO; ;ORDINÁRIO NÃO VINCULADO                  FTFE 500;IMPOSTO SOBRE TRANSMISSÃO INTER VIVOS DE BENS IMÓVEIS E DE DIREITOS;RECEITAS CORRENTES;IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA;IMPOSTOS;IMPOSTOS SOBRE O PATRIMÔNIO;IMPOSTO SOBRE TRANSMISSÃO "INTER VIVOS" DE BENS IMÓVEIS E DE DIREITOS;IMPOSTO SOBRE TRANSMISSÃO INTER VIVOS DE BENS IMÓVEIS E DE DIREITOS;TESOURO;57143,67;57143,67;,00;2;2024-07-22 07:33:00
2024;130101;00001;413210101;121022097;13210101;1;13;132;1321;132101;13210101;1;SECR. DE ESTADO DE ECONOMIA DO DF;TESOURO; ;APLICAÇÕES FINANCEIRAS VINCULADAS        -FTFE 700;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;RECEITAS CORRENTES;RECEITA PATRIMONIAL;VALORES MOBILIÁRIOS;JUROS E CORREÇÕES MONETÁRIAS;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;TESOURO;240,39;240,39;,00;3;2024-07-22 07:33:00
2024;130101;00001;419999921;183000000;19999921;1;19;199;1999;199999;19999921;1;SECR. DE ESTADO DE ECONOMIA DO DF;TESOURO; ;DESVINCULAÇÃO DE RECEITA DO DF - EC 93/2016;OUTRAS RECEITAS NÃO ARRECADADAS E NÃO PROJETADAS - PRIMÁRIAS;RECEITAS CORRENTES;OUTRAS RECEITAS CORRENTES;DEMAIS RECEITAS CORRENTES;OUTRAS RECEITAS CORRENTES;OUTRAS RECEITAS;OUTRAS RECEITAS NÃO ARRECADADAS E NÃO PROJETADAS - PRIMÁRIAS;TESOURO;214133,00;214133,00;,00;4;2024-07-22 07:33:00
